sample_id,fragment,total_coverage_min,total_coverage_median,total_coverage_max,total_coverage_mean,total_coverage_count,valid_coverage_min,valid_coverage_median,valid_coverage_max,valid_coverage_mean,valid_coverage_count,mean_codon_quality_min,mean_codon_quality_median,mean_codon_quality_max,mean_codon_quality_mean,mean_codon_quality_count
S1,INT-915,0,11918.0,20137,11819.393442622952,305,0,11298.0,19358,11342.64918032787,305,34.0,37.8,38.0,37.74656765676568,303
S1,PRRT-1278,0,9554.0,11721,8483.840375586855,426,0,8978.5,11179,8031.389671361502,426,35.59,37.77,37.88,37.73444180522566,421
S2,INT-915,0,25801.0,37748,24110.367213114754,305,0,24245.0,36387,22953.27213114754,305,35.33,37.78,37.86,37.72698675496689,302
S2,PRRT-1278,0,32278.5,40084,28939.136150234743,426,0,30409.5,38313,27278.31924882629,426,35.64,37.76,38.0,37.715390070921984,423
S3,INT-915,0,25005.0,44390,25522.091803278687,305,0,23653.0,42100,24345.9868852459,305,34.0,37.79,38.0,37.73841584158416,303
S3,PRRT-1278,0,24144.5,27936,20765.68544600939,426,0,22580.0,26788,19646.521126760563,426,36.29,37.76,37.89,37.734208037825056,423
S4,INT-915,0,29279.0,46279,27797.30819672131,305,0,26713.0,44007,26168.655737704918,305,35.74,37.74,38.0,37.697715231788074,302
S4,PRRT-1278,0,19674.0,28636,19006.291079812207,426,0,18110.5,27005,17640.671361502347,426,35.73,37.71,37.84,37.66814726840855,421
S5,INT-915,0,23437.0,35172,22079.36393442623,305,0,22187.0,34473,21174.173770491805,305,36.26,37.8,38.0,37.77003300330033,303
S5,PRRT-1278,0,31991.5,43606,29847.92018779343,426,0,30196.0,41782,28341.333333333332,426,34.0,37.78,37.87,37.739009433962266,424
S6,INT-915,0,32299.0,46435,30312.954098360657,305,0,30908.0,44557,28893.360655737706,305,35.22,37.78,37.88,37.74079207920792,303
S6,PRRT-1278,0,40109.0,53015,35932.34507042253,426,0,37008.5,50455,33611.96948356808,426,35.9,37.74,37.89,37.706264775413715,423
S7,INT-915,0,54142.0,97246,51542.3737704918,305,0,51394.0,92930,49386.019672131144,305,34.17,37.8,37.88,37.75046204620462,303
S7,PRRT-1278,0,3777.5,4509,3310.788732394366,426,0,3503.0,4317,3112.9413145539907,426,34.0,37.75,37.87,37.71173396674584,421
S8,INT-915,0,16156.0,21351,14340.977049180328,305,0,15297.0,20420,13589.088524590165,305,35.85,37.77,37.87,37.726897689768975,303
S8,PRRT-1278,0,40372.5,55774,37803.15962441314,426,0,37640.5,53142,35517.903755868545,426,35.86,37.75,38.0,37.713758865248224,423
S9,INT-915,0,29627.0,46642,27550.032786885247,305,0,28567.0,45336,26497.390163934426,305,36.0,37.82,38.0,37.7680198019802,303
S9,PRRT-1278,0,25112.0,34092,23705.171361502347,426,0,23632.5,32615,22594.436619718308,426,35.94,37.79,38.0,37.75109004739337,422
